# productId<TAB>reviewed English image-search keyword
100001	modern laptop device
100002	mini desktop computer
100003	portable external SSD drive
100004	USB hub
100005	computer webcam camera
100006	tablet computer screen
100007	wireless WiFi router
100008	NVMe solid state drive
100009	USB C GaN wall charger
100010	wireless phone charger
100011	braided USB C cable
100012	portable phone power bank
100013	multiple device charging station
100014	camera gimbal
100015	protective smartphone case
100016	smartphone tripod selfie stick
100017	compact mechanical computer keyboard
100018	full size mechanical computer keyboard
100019	wireless gaming computer mouse
100020	ergonomic vertical computer mouse
100021	computer numeric keypad
100022	computer keyboard mouse
100023	computer keyboard wrist rest
100024	wireless trackball computer mouse
100025	gaming computer monitor
100026	professional desktop computer monitor
100027	intitle:"computer monitor"
100028	ultrawide monitor
100029	portable computer monitor
100030	computer monitor
100031	AirPods earbuds
100032	earbuds earphones
100033	wired studio monitor headphones
100034	desktop USB condenser microphone
100035	portable bluetooth speaker
100036	over ear wireless headphones
100037	gaming earphones
100038	sport headphones
100039	electric kettle
100040	intitle:"electric fan"
100041	kitchen air fryer appliance
100042	cordless handheld vacuum cleaner
100043	intitle:"water dispenser"
100044	dehumidifier
100045	electric rice cooker appliance
100046	bath towel folded
100047	travel mug
100048	clear plastic storage box
100049	wall mounted soap dispenser
100050	folding sun umbrella
100051	reed diffuser
100052	food storage containers
100053	office paper shredder
100054	laptop stand
100055	desktop calculator
100056	desktop file organizer
100057	desk lamp
100058	cork board
100059	open paper notebook stationery
100060	t shirt
100061	jacket clothing
100062	knit sweater
100063	casual trousers
100064	hoodie clothing
100065	polo shirt
100066	down vest
100067	dress shirt
100068	breathable running shoes
100069	sneakers shoes
100070	hiking shoes footwear
100071	house slippers footwear
100072	low top canvas sneakers
100073	waterproof hiking boots
100074	loafers shoes
100075	intitle:backpack
100076	intitle:"laptop bag"
100077	crossbody bag
100078	travel suitcase luggage
100079	camera equipment backpack
100080	tote bag
100081	intitle:"carrying case"
100082	wooden side table furniture product
100083	storage cabinet
100084	geometric wool area rug
100085	floor lamp interior
100086	handmade ceramic vase
100087	ergonomic lounge chair
100088	intitle:"wall clock"
100089	yoga mat
100090	fitness dumbbell weights
100091	abdominal exercise wheel
100092	jump rope
100093	muscle foam roller
100094	intitle:badminton
100095	wireless video game controller
100096	colored LED light
100097	intitle:"headphone stand"
100098	macro keyboard
100099	mouse mat
100100	handheld game console carrying case
